year,colour,avg_car,worst_car,best_car,num_brands,avg_car_pct,worst_car_pct,best_car_pct,colour_term,avg_interest,max_interest
2020,Classic Blue,-0.05658992160700646,-0.3855416062040228,0.15830094515378135,4,-5.66,-38.55,15.83,Classic Blue,32.32,100
2021, Illuminating,0.10716288598785134,0.030670034014996572,0.1836557379607061,2,10.72,3.07,18.37,Pantone 2021,23.95,100
2021,Ultimate Gray ,0.06942474186058206,-0.06560788780275817,0.2044573715239223,2,6.94,-6.56,20.45,Pantone 2021,23.95,100
2021,Ultimate Gray + Illuminating,-0.02500926019189531,-0.02500926019189531,-0.02500926019189531,1,-2.5,-2.5,-2.5,Pantone 2021,23.95,100
2022,Very Peri,-0.2950752435923781,-0.9332793863581272,0.15693277467160538,4,-29.51,-93.33,15.69,Very Peri,14.25,100
2023,Viva Magenta,0.07824029920263403,-0.12685638092485862,0.24228852057177508,4,7.82,-12.69,24.23,Viva Magenta,14.14,100
2024,Peach fuzz,-0.06540456282053739,-0.24697068601765548,0.15596978489427782,4,-6.54,-24.7,15.6,Peach Fuzz,17.35,100
2025,Mocha Mousse,0.038716714185664025,-0.27154966528688784,0.2915345607766461,4,3.87,-27.15,29.15,Mocha Mousse,16.33,100
