Date,AAPL,ADBE,BBY,CAT,CHD,EL,ETSY,F,FDX,HSY,IBM,LEVI,MA,MBG.DE,MDLZ,META,MMM,MSI,NFLX,NSRGY,PEP,TMUS,TPR,ULTA,UPS,ZM
2019-06-04,0.0365843861454227,0.0373701606817709,0.011388756659471921,0.011852629594639286,-0.011320158527421853,0.031008598827329426,0.0029474423788320436,0.03225809396541357,0.047590629143294816,0.006045393752463157,0.034458699868670006,0.041201983786846474,0.028564218490387594,0.04126026512950154,0.011249175000153766,0.020408054283822308,0.02655595542101885,0.03188869843454012,0.0498173675199185,-0.015396789933098454,0.0006978198509326461,0.020081189698575752,0.04267870107583649,0.014912258272123502,0.03750102217455309,0.03741760580758746
2019-06-05,0.016143061604846354,0.015444136907645012,-0.011260513412357898,0.008518943031504689,0.025429384386614684,0.004431473319646662,0.003918394750478393,-0.01411316807910823,-0.0062655753164843064,0.02163288295517618,-0.009043516934197582,-0.006982948085611951,0.02841330476837589,-0.010909940941878027,0.015343199042791467,0.0039998872547044595,-0.0026783822401303947,0.0235123184420456,0.006593143972222437,0.005478155768732229,0.017974652880328623,0.007926851386108602,0.0039933430840688455,0.005811737293612174,0.0056318620186526225,-0.008889979263820624
2019-06-06,0.01468175423073137,0.00710988252420619,-0.014552189727097042,0.002192957961479891,0.010386757420077775,0.02317749004765801,0.007643476877159383,-0.0030671142393786655,-0.010971860128149102,0.009043793223306507,0.00555176574424876,-0.02391016682898195,0.006126546043698111,-0.015296549862682585,0.009822445510672795,0.0009514993224282176,0.005309727349494864,0.0021790388599254307,0.003935551747733523,0.0046555561236709675,0.01184501585986375,-0.004456784820159099,-0.007441662168497953,0.00844487226845847,-0.002138094120396228,0.01781137075014927
2019-06-07,0.026616931422206447,0.012227132526920093,0.02279269458171762,0.008671621198369506,0.002056316115860657,0.016846022495604407,0.031149133855611133,0.0010254475734303714,0.0074593848782995575,0.005610493968501107,0.008243788270896779,0.007204522327067808,0.030911809556651182,0.006129213190588345,0.01047515947904154,0.029822548931651927,0.011474054698811909,0.01615098558685557,0.010472392020080434,0.010254521735058253,0.011289814292634537,0.014219847482328074,0.021614135384958377,-0.006376114347171891,0.002346705141840655,0.18406147161539632
2019-06-10,0.012779453841996524,0.00783718955666024,0.023069890730124554,0.01028456928589594,-0.008848628429086847,0.006559144467759959,0.022225671975438788,0.006147558128399178,0.02417433124120061,-0.009202156452304266,0.010726827363733316,0.03242746058042978,0.0011286426295999963,,0.003146953422455523,0.008479793091132448,0.01008347706144086,-0.012654560917432445,-0.024551820398137747,-0.0027327845090158176,0.0008989807034771591,-0.004673252444016507,-0.009256177224290285,-0.0032825167291213875,0.01893510099399376,0.08452947039105485
2019-06-11,0.011579512133802039,-0.015516894343797438,0.005061851825231223,0.012247424990358358,-0.007762667484874086,-0.0029773435565336737,0.028632718059808937,0.01018337343118092,-0.014829534705723457,0.0005848186371415487,0.008980272043337179,-0.03417992726757435,-0.009169083049348603,,-0.0036907968639389166,0.01876238971585953,0.003684047074387964,-0.005882190949188515,-0.002102250271491468,-0.003621212665727347,-0.0029193612566091875,-0.015782190842270172,-0.00834145913530604,0.008782145319270684,-0.0007991792509244311,-0.06990193385703891
2019-06-12,-0.0031826404881020176,0.003079843956636852,-0.00876643745388428,-0.0014142122268582247,0.0013038636004005788,-0.0018032129413684261,0.029621879349950087,-0.0070563459321838495,0.01210465218129353,0.010232585480475231,-0.00794400039656562,-0.01339099274728095,0.0007200506599762679,-0.007840140716440791,0.010372329421227677,-0.01718155522946818,0.0005921112133093764,0.004671257700858078,-0.01625527837180496,0.001277123579096484,-0.0004506477718722035,-0.001060072269146728,-0.029946368516378663,0.008264455392153591,0.0038997876323110248,0.08327177893719417
2019-06-13,-0.00020588391087450475,-0.001950616067277977,0.021567118102668204,0.0005508389231023703,0.0019530866027182014,0.004402608438458078,0.012722349372673358,0.021319475389996123,0.026647070148355878,-0.004268198029236392,0.006598827182334954,0.026660233936152133,-0.010043319926360095,0.0017677166579659342,0.0018331783603051655,0.013882498494785844,-0.0009465694910395506,-0.004914693329480024,-0.006163944111748254,-0.005395397357465526,-0.001502202975278366,-0.012337404501724714,0.03850150832631738,0.020389679963352503,0.01613530318729084,-0.017709445891540887
2019-06-14,-0.007262290646378622,-0.007310854516524468,0.0028859286408393636,0.0004718580058851174,0.002859827280533578,-0.006012748695000347,-0.032119912947577545,-0.007952130508857902,-0.006760524020097969,0.005013165327517388,-0.004493097858902728,0.014636576399574164,-0.004211337965203565,-0.015672030802269643,0.0073193787801941745,0.02175013364253875,-0.012792724891814822,0.0025009945539382628,-0.010773635034657558,0.0031560497960887446,-0.0015796826084333304,0.0060441588425705906,-0.013359829089386377,0.013750314719887413,-0.00392089918597871,-0.006537850942712087
2019-06-17,0.005966483932236422,0.004812626987361623,0.009086748596152328,0.0007072799742973146,0.0022031200583256805,0.004183352739023816,0.009734454321646657,0.0070141938579635355,-0.005043936614519295,-0.00448234469872677,-0.0014799893454084945,0.015821293945481152,-0.003460007031800383,-0.002214401762767104,-0.0054495020166268615,0.04235376612485742,0.0005399694668763999,0.021765021888465963,0.032054888164119166,0.000393276573177781,-0.0015820407379373291,0.004939848435601579,0.004062234587944191,-0.01249222473853262,-0.002164878307037932,-0.021736965652358164
2019-06-18,0.023518511131189523,0.004281540818754648,0.03031664440182924,0.023641129089490898,-0.012931905543811295,0.008557848104822519,-0.022056706929944325,0.00497485744584103,0.0160026915450433,0.0039939123086285555,0.01059678645204265,-0.003206814427192173,-0.001504864587903998,0.028426749732424206,-0.0034703893817936704,-0.0028568383248538387,0.03045944071047746,0.007629317340794195,0.018538632159806,0.004619137085312808,-0.0034711393254774903,0.015544313469503468,0.021914970144497392,-0.008509697494367363,0.007396524814065275,0.015594728058083929
2019-06-19,-0.002922558312142165,0.05213524365713895,-0.015003827755507904,0.0021483436643714438,-0.0018339102790149164,0.0037961742579473157,0.01777449582747881,-0.0059406109955192354,0.001322596589290459,-0.002531588404486973,0.005132498143621378,0.0252759704750134,0.004095633043838198,0.011097157638747523,0.009164044899775403,-0.005253113770764539,-0.006458764186154986,0.008782963489197382,0.017921128958915178,-0.0026412349553576187,0.005982089144660252,0.024071044054364332,0.005608630121292757,0.030615492481263384,-0.005776092823083112,0.027599357856737283
2019-06-20,0.008035608071360612,0.037430013448442434,0.011387111394792093,0.023122297084098964,0.0022310602386264033,0.017461546261052563,0.01012624666255979,0.0,0.011647757062701602,-0.0018854393211922282,0.012912117286166147,-0.0237564113602049,0.026628882173735713,0.003455455114742323,0.007264711606791208,0.010934770916196657,0.018682393719299917,0.001921503683182113,0.0046489522647612525,0.018440392093443725,0.00986072756665246,-0.004470905359855837,0.013123287163227193,0.0013972725383326612,0.018117572643621127,-0.0008789563280310331
2019-06-21,-0.003409309146568562,-0.009201942716530298,-0.012428595033303735,0.0019457397534983212,-0.005500329574403606,-0.00901819405169979,-0.04431211638268062,-0.004979948325818606,-0.014894312113285735,-0.0037050588570096687,0.0025208302805814764,-0.0009182488068431027,-0.008696108943212821,0.005063624025826607,-0.0037865170742548138,0.008494501727275061,-0.003392271208317199,-0.010607615774841705,0.01095264442051569,-0.004045089553600167,-0.0014907818602842848,-0.028615692276048987,0.01457258760229374,-0.007060330426836514,-0.01189562491437357,-0.017888580415083788
2019-06-24,-0.001006210796428486,0.001804057625852007,-0.0010363777452837564,0.0035850072035930047,0.002370462089372971,0.014340140401105872,-0.028124027188388245,-0.00400419510267358,-0.026912874446391566,0.0023334743385394763,0.0010777162575212884,-0.03216896186143048,0.003138188994782798,-0.03748474387784517,0.0014481919539151011,0.0076383372003603345,0.00017302998184054452,0.0031495902464535597,0.004956492243366473,0.002804336707378674,0.001343713844009331,-0.002113527551172778,0.0022344736121489017,-0.026053199958624873,-0.02397937023354091,-0.11008258608754451
2019-06-25,-0.015157352090737208,-0.03968384329960695,-0.016006944945115897,-0.0049115957378690345,-0.011166868387389672,0.0002172731424616714,-0.033474102603362255,-0.011055161794179091,-0.030577917699253887,-0.0018188952387684365,-0.0071046393706429845,-0.014720080531647417,-0.02099491835538847,-0.003559565289567246,0.002710962342904244,-0.01952227376169069,-0.007786277163792432,-0.008574392221725846,-0.028945701530988632,-0.005400214328345809,-0.002460041529575574,-0.012708444242386263,-0.03821655913383948,0.006204172226785376,-0.025972896545382373,-0.048987861574919966
2019-06-26,0.021628920038916144,0.00260443795124754,0.026359290405413294,0.01076956386269412,-0.033877714476391985,-0.007882534482357872,-0.023142907978440097,0.007113921156223668,0.02525947479281032,-0.022230301989119905,0.0011565071239212354,-0.0019275516569058349,0.006044878571725754,0.011031643022310078,-0.01838516106311261,-0.006248648657452671,-0.0008717882229594132,0.0042025500659359505,0.005273451230740189,-0.00436306459375535,-0.01113513259105181,-0.020648846718155367,0.01920540583633601,-0.01109866956348371,0.029239267791943302,0.01528875773751448
2019-06-27,-0.0003002742936231151,0.015620704303674016,0.004842727587365925,0.002589557796202291,0.0057756477656736305,-0.0024658972481436114,0.033134525841224116,0.029263438363605898,0.021198183540154014,0.0054415707625836696,0.0,0.01738286409769585,-0.0007655482398039037,0.0037412219505563726,-0.001475855722581021,0.0098048591605564,-0.002210818238993273,-0.0016982178464354236,0.021590216850050137,0.0006818028604522741,-0.004761322971391313,0.003422578873636617,0.00844694317297301,-0.0017400559444669117,0.017305011596775444,0.04563876669112288
2019-06-28,-0.00911177463114532,0.00484255654931065,0.018402295550694614,0.005830306507951022,-0.0010940597669415464,0.005822872002176238,-0.015875588017593145,0.0029412834992375014,0.005388471098479064,-0.006301812266263251,-0.0044758918447314056,-0.009017315985799246,0.013136925494671825,0.013044666807978667,-0.00406481031829542,0.018469740928916956,0.010728926725377619,0.012940558037903838,-0.007296915458091524,0.006227946412203034,-0.004252352909779877,0.011597877452332206,0.022229251197355415,0.007756706229346655,0.015437587188777746,-0.016395211948340482
2019-07-01,0.018340603964656088,0.02144920229130931,0.03872087502357524,0.0022746990121345068,0.006706880245959113,-0.0048058897155559555,0.011243318452263562,-0.00782031064204125,-0.007430409098774238,0.001641524281752682,0.01435806768605774,0.017720034569548515,0.0084676588349748,-0.002350472244557089,0.015027856633091474,0.0,0.006749496267929089,0.0009597568669235113,0.019819249475001355,-0.012185555139313076,0.005643154440356124,0.00013474781074940267,-0.013551814535592621,-0.018766783391625408,-0.0029048588659064123,-0.021736685271711353
2019-07-02,0.005854594601052865,0.0013955325315839762,-0.010907188024748327,-0.005490628836756106,0.004215046186756277,0.009712877776783646,0.009345762222413345,-0.0029556398046284293,-0.019512638393862858,0.013705601172540938,0.002430958794107152,0.005176539562812499,0.014244553554802364,-0.0033804407561882632,0.0043863745186547565,0.010362740540569071,-0.002807548017171757,0.008508726521406773,0.0022157016853712186,0.01644807739822851,0.004246477638051083,0.017936701460591564,-0.03067088484354019,0.0027909444615590306,-0.009420341594631676,-0.019917146497549276
2019-07-03,0.008286717613241512,0.014300399313564638,0.004606483298277064,-0.0019140079869731652,0.01597622483847627,0.011032747992268499,0.026181344278867424,0.007905181830918817,0.010200756231674157,0.01403466441202772,0.009413644722762848,0.020131163763821958,0.009276575187079583,0.00770889250415574,0.015650915355489126,0.011282085335237113,0.005516441647757109,0.012239035845160506,0.01675416534913987,0.0001924613962862587,0.011780089150522421,0.004504506872242908,0.0013184735392159919,0.012011854407194322,0.011764606324885962,0.06249265671872939
2019-07-04,,,,,,,,,,,,,,0.0003060486519421701,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,0.0017334331298599626,,,,,,,,,,,,
2019-07-08,-0.02061418064347864,-0.0034870633603649726,0.001530038959884461,-0.00479747368793626,-0.0034980154738027958,-0.0005395014023356071,0.009940060863018463,0.0,-0.007099710199599429,0.0023865632545647664,-0.005729038508362927,0.04131094943557767,-0.0021340143766038766,-0.010993452394213121,-0.001081167517912096,-0.0032585422903429473,-0.016337344100114115,-0.009317155581540115,-0.01153591308645141,0.005712603318828169,-0.003458021345577711,-0.007870908522938369,0.0006611551960151729,0.02243800539345875,-0.004881809195295128,-0.012189760020327345
2019-07-09,0.00609958047694148,0.004225533878771781,-0.0019442906911029123,-0.00407890418553325,-0.005130275422506991,-0.0072876942907703635,0.04452426775514762,-0.0058823685089799405,-0.010135637318524071,0.00021667978667760934,-0.008821235232075675,0.020267286093712533,0.007779229913162933,-0.01667355033804596,-0.001082256364204226,0.01762364435242314,-0.020627704996586393,0.007630482151503637,0.010022301415634427,-0.001444073535557755,-0.006185971959302594,-0.006346764898902624,-0.020489067554119056,-0.011936804065710738,-0.001864182126708025,0.0018730516190397228
2019-07-10,0.009888705309782475,0.009138720143787804,0.0009740738747900934,-0.012286632423567645,0.009228017847520809,0.0021207453473683913,-0.0061322712887605935,-0.00295862103528044,0.005025272192304753,-0.0003609033135415496,0.00818206299364932,-0.12003375880756462,0.007463200711686824,-0.01570019125703659,0.002708450134787377,0.017669756731861552,0.0,0.002230641657188892,0.002816267299701858,0.000964228356297836,0.020267144982964558,0.04630731766086482,-0.02631564094631933,-0.003673090963450143,-0.0010814681734018228,0.01968548234377887
2019-07-11,-0.007282386291184828,0.00201965957065231,0.025302523919790376,0.009951976076231661,0.009815741948608903,0.009712902489680486,-0.02197139430434958,0.007913001110956275,0.01631390658074472,-0.01068045324682898,0.005481577246283065,-0.027377419757845356,0.010676233197898899,-0.007869154233711262,-0.016207292745747948,-0.007399036704422879,0.020157147543598875,0.0019914568200516403,-0.003936947957715153,-0.00847624170985839,-0.0004463120615887384,-0.004705514780975806,0.029799280863678,-0.0006336440465674054,0.01682747196995238,-0.014236407220079683
2019-07-12,0.0076827424876220185,0.005916798725960515,0.013830368077180077,0.0328451170131272,0.0025295145931962804,0.003923331039918265,-0.00600091402473879,0.029440706383567106,0.029950374447351713,0.000583456874688304,0.01061990899734977,-0.006419688082753394,0.004383261545275019,-0.006645029107188893,-0.0016474131395499692,0.018088863207476047,0.025437755386417793,0.007073123125580061,-0.01646903787707832,-0.0010685423215378576,-0.007964169156159828,0.015205631458492297,0.02086126045510439,0.02711972841132959,0.024968890725121762,0.020787762518154285
2019-07-15,0.009394875154671078,-0.0021330348182649894,0.009763325434550385,0.009251418989683735,-0.00013242533475132934,0.002569474616620271,0.014705953561551466,-0.006672985557583555,0.002567636077343005,0.008748192640072316,0.004063367973980103,0.0,-0.000607666877879498,0.003884143456061251,0.002933558080423282,-0.004685997061362079,-0.002884826366396087,0.0030183377874826167,-0.01781650105651522,0.008460462090942311,0.006527481696436466,-0.001762186165520263,0.013513552782865812,-0.001992261128181849,-0.0011336123690024458,0.06966773619925992
